27_123349_000000_000000	Some of the Scottish emigrants, heated with republican enthusiasm, and utterly destitute of the skill necessary to the conduct of great affairs, employed all their industry and ingenuity, not in collecting means for the attack which they were about to make on a formidable enemy, but in devising restraints on their leader's power and securities against his ambition.	Some of the Scottish emigrants, heated with republican enthusiasm, and utterly destitute of the skill necessary to the conduct of great affairs, employed all their industry and ingenuity, not in collecting means for the attack which they were about to make on a formidable enemy, but in devising restraints on their leader's power and securities against his ambition.	false	27.975	51.64	20
27_123349_000000_000001	The selfcomplacent stupidity with which they insisted on Organising an army as if they had been organising a commonwealth would be incredible if it had not been frankly and even boastfully recorded by one of themselves.	The selfcomplacent stupidity with which they insisted on Organising an army as if they had been organising a commonwealth would be incredible if it had not been frankly and even boastfully recorded by one of themselves.	true	51.77	66.84	18
27_123349_000000_000002	[338]	[three hundred thirty eight]	false	66.84	67.38	-20
27_123349_000001_000000	At length all differences were compromised.	At length all differences were compromised.	true	67.38	70.245	22.378635
27_123349_000001_000001	It was determined that an attempt should be forthwith made on the western coast of Scotland, and that it should be promptly followed by a descent on England.	It was determined that an attempt should be forthwith made on the western coast of Scotland, and that it should be promptly followed by a descent on England.	true	70.245	80.08	22
27_123349_000002_000000	Argyle was to hold the nominal command in Scotland: but he was placed under the control of a Committee which reserved to itself all the most important parts of the military administration.	Argyle was to hold the nominal command in Scotland: but he was placed under the control of a Committee which reserved to itself all the most important parts of the military administration.	false	80.42	91.89	18
27_123349_000002_000001	This committee was empowered to determine where the expedition should land, to appoint officers, to superintend the levying of troops, to dole out provisions and ammunition.	This committee was empowered to determine where the expedition should land, to appoint officers, to superintend the levying of troops, to dole out provisions and ammunition.	false	91.89	103.66	21.688576
27_123349_000002_000002	All that was left to the general was to direct the evolutions of the army in the field, and he was forced to promise that even in the field, except in the case of a surprise, he would do nothing without the assent of a council of war.	All that was left to the general was to direct the evolutions of the army in the field, and he was forced to promise that even in the field, except in the case of a surprise, he would do nothing without the assent of a council of war.	true	103.79	118.15	19
27_123349_000003_000000	Monmouth was to command in England.	Monmouth was to command in England.	true	118.55	121	21.841228
27_123349_000003_000001	His soft mind had as usual, taken an impress from the society which surrounded him.	His soft mind had as usual, taken an impress from the society which surrounded him.	true	121.07	126.85	19.791569
27_123349_000003_000002	Ambitious hopes, which had seemed to be extinguished, revived in his bosom.	Ambitious hopes, which had seemed to be extinguished, revived in his bosom.	true	126.92	131.95	21.886257
27_123349_000003_000003	He remembered the affection with which he had been constantly greeted by the common people in town and country, and expected that they would now rise by hundreds of thousands to welcome him.	He remembered the affection with which he had been constantly greeted by the common people in town and country, and expected that they would now rise by hundreds of thousands to welcome him.	true	132.38	143.95	19
27_123349_000003_000004	He remembered the good will which the soldiers had always borne him, and flattered himself that they would come over to him by regiments.	He remembered the good will which the soldiers had always borne him, and flattered himself that they would come over to him by regiments.	true	144.65	152.47	16
27_123349_000003_000005	Encouraging messages reached him in quick succession from London.	Encouraging messages reached him in quick succession from London.	true	152.72	156.79	17
27_123349_000003_000006	He was assured that the violence and injustice with which the elections had been carried on had driven the nation mad, that the prudence of the leading Whigs had with difficulty prevented a sanguinary outbreak on the day of the coronation, and that all the great Lords who had supported the Exclusion Bill were impatient to rally round him.	He was assured that the violence and injustice with which the elections had been carried on had driven the nation mad, that the prudence of the leading Whigs had with difficulty prevented a sanguinary outbreak on the day of the coronation, and that all the great Lords who had supported the Exclusion Bill were impatient to rally round him.	false	157.19	178.81	20
