27_123349_000001_000000	At length all differences were compromised.	At length all differences were compromised.
27_123349_000001_000001	It was determined that an attempt should be forthwith made on the western coast of Scotland, and that it should be promptly followed by a descent on England.	It was determined that an attempt should be forthwith made on the western coast of Scotland, and that it should be promptly followed by a descent on England.
27_123349_000003_000000	Monmouth was to command in England.	Monmouth was to command in England.
27_123349_000003_000002	Ambitious hopes, which had seemed to be extinguished, revived in his bosom.	Ambitious hopes, which had seemed to be extinguished, revived in his bosom.
27_123349_000004_000000	It was determined that two Englishmen, Ayloffe and Rumbold, should accompany Argyle to Scotland, and that Fletcher should go with Monmouth to England.	It was determined that two Englishmen, Ayloffe and Rumbold, should accompany Argyle to Scotland, and that Fletcher should go with Monmouth to England.
27_123349_000004_000002	When Grey repeated with approbation what Wildman had said about Richmond and Richard, the well read and thoughtful Scot justly remarked that there was a great difference between the fifteenth century and the seventeenth.	When Grey repeated with approbation what Wildman had said about Richmond and Richard, the well read and thoughtful Scot justly remarked that there was a great difference between the fifteenth century and the seventeenth.
27_123349_000005_000002	Six thousand pounds had been expected thence.	Six thousand pounds had been expected thence.
27_123349_000006_000000	It is remarkable that the most illustrious and the most grossly injured man among the British exiles stood far aloof from these rash counsels. John Locke hated tyranny and persecution as a philosopher; but his intellect and his temper preserved him from the violence of a partisan. He had lived on confidential terms with Shaftesbury, and had thus incurred the displeasure of the court.	It is remarkable that the most illustrious and the most grossly injured man among the British exiles stood far aloof from these rash counsels. john Locke hated tyranny and persecution as a philosopher; but his intellect and his temper preserved him from the violence of a partisan. He had lived on confidential terms with Shaftesbury, and had thus incurred the displeasure of the court.
27_123349_000006_000002	In one point, however, he was vulnerable.	In one point, however, he was vulnerable.
27_123349_000006_000003	He was a student of Christ Church in the University of Oxford.	He was a student of Christ Church in the University of Oxford.
27_123349_000006_000006	Locke had, at Oxford, abstained from expressing any opinion on the politics of the day.	Locke had, at Oxford, abstained from expressing any opinion on the politics of the day.
27_123349_000006_000007	Spies had been set about him.	Spies had been set about him.
27_123349_000006_000011	When it was found that treachery could do nothing, arbitrary power was used.	When it was found that treachery could do nothing, arbitrary power was used.
27_123349_000006_000012	After vainly trying to inveigle Locke into a fault, the government resolved to punish him without one.	After vainly trying to inveigle Locke into a fault, the government resolved to punish him without one.
27_123349_000008_000002	A proclamation was accordingly issued directing that Scotland should be put into a state of defence.	A proclamation was accordingly issued directing that Scotland should be put into a state of defence.
