27_124992_000000_000000	1:2.	one to two.	false	61.905	72.78	17.276249
27_124992_000000_000001	Of stones squared and hewed: he made the walls thereof seventy cubits broad, and thirty cubits high, and the towers thereof he made a hundred cubits high.	Of stones squared and hewed: he made the walls thereof seventy cubits broad, and thirty cubits high, and the towers thereof he made a hundred cubits high.	false	72.78	91.99	20.02001
27_124992_000000_000002	But on the square of them, each side was extended the space of twenty feet.	But on the square of them, each side was extended the space of twenty feet.	true	92.42	97.74	20.363277
27_124992_000001_000000	1:3.	one to three.	false	97.74	98.52	-20
27_124992_000001_000001	And he made the gates thereof according to the height of the towers:	And he made the gates thereof according to the height of the towers:	true	98.52	102.09	13
27_124992_000002_000000	1:4.	one to four.	false	102.09	102.825	-20
27_124992_000002_000001	And he gloried as a mighty one in the force of his army and in the glory of his chariots.	And he gloried as a mighty one in the force of his army and in the glory of his chariots.	true	102.825	108.21	10
27_124992_000003_000000	1:5.	one to five.	false	108.21	109.26	-20
27_124992_000003_000001	Now in the twelfth year of his reign, Nabuchodonosor king of the Assyrians, who reigned in Ninive the great city, fought against Arphaxad and overcame him,	Now in the twelfth year of his reign, Nabuchodonosor king of the Assyrians, who reigned in Ninive the great city, fought against Arphaxad and overcame him,	false	109.26	120	18
27_124992_000004_000000	Nabuchodonosor...	Nabuchodonosor...	false	120	120	
27_124992_000004_000001	Not the king of Babylon, who took and destroyed Jerusalem, but another of the same name, who reigned in Ninive: and is called by profane historians Saosduchin.	Not the king of Babylon, who took and destroyed Jerusalem, but another of the same name, who reigned in Ninive: and is called by profane historians Saosduchin.	false	120	120.48	65
27_124992_000004_000002	He succeeded Asarhaddan in the kingdom of the Assyrians, and was contemporary with Manasses king of Juda.	He succeeded Asarhaddan in the kingdom of the Assyrians, and was contemporary with Manasses king of Juda.	false	120.48	120.6	0
27_124992_000005_000000	1:6.	one to six.	false	120.6	120.6	
27_124992_000005_000001	In the great plain which is called Ragua, about the Euphrates, and the Tigris, and the Jadason, in the plain of Erioch the king of the Elicians.	In the great plain which is called Ragua, about the Euphrates, and the Tigris, and the Jadason, in the plain of Erioch the king of the Elicians.	false	120.6	130.71	19.899488
27_124992_000006_000000	1:7.	one to seven.	false	130.71	132.45	14.2766905
27_124992_000006_000001	Then was the kingdom of Nabuchodonosor exalted, and his heart was elevated: and he sent to all that dwelt in Cilicia and Damascus, and Libanus,	Then was the kingdom of Nabuchodonosor exalted, and his heart was elevated: and he sent to all that dwelt in Cilicia and Damascus, and Libanus,	true	132.45	141.93	16
27_124992_000007_000000	1:8.	one to eight.	false	141.93	142.32	-20
27_124992_000007_000001	And to the nations that are in Carmelus, and Cedar, and to the inhabitants of Galilee in the great plain of Asdrelon,	And to the nations that are in Carmelus, and Cedar, and to the inhabitants of Galilee in the great plain of Asdrelon,	false	142.32	149.13	15
27_124992_000008_000000	1:9.	one to nine.	false	149.13	149.79	18
