27_124992_000000_000002	But on the square of them, each side was extended the space of twenty feet.	But on the square of them, each side was extended the space of twenty feet.
27_124992_000015_000001	And he called all the ancients, and all the governors, and his officers of war, and communicated to them the secret of his counsel:	And he called all the ancients, and all the governors, and his officers of war, and communicated to them the secret of his counsel:
27_124992_000020_000001	Then Holofernes called the captains, and officers of the power of the Assyrians: and he mustered men for the expedition, and the king commanded him, a hundred and twenty thousand fighting men on foot, and twelve thousand archers, horsemen.	Then Holofernes called the captains, and officers of the power of the Assyrians: and he mustered men for the expedition, and the king commanded him, a hundred and twenty thousand fighting men on foot, and twelve thousand archers, horsemen.
27_124992_000021_000001	And he made all his warlike preparations to go before with a multitude of innumerable camels, with all provisions sufficient for the armies in abundance, and herds of oxen, and flocks of sheep, without number.	And he made all his warlike preparations to go before with a multitude of innumerable camels, with all provisions sufficient for the armies in abundance, and herds of oxen, and flocks of sheep, without number.
27_124992_000024_000001	And he went forth he and all the army, with the chariots, and horsemen, and archers, who covered the face of the earth, like locusts.	And he went forth he and all the army, with the chariots, and horsemen, and archers, who covered the face of the earth, like locusts.
27_124992_000026_000001	And he took by assault the renowned city of Melothus, and pillaged all the children of Tharsis, and the children of Ismahel, who were over against the face of the desert, and on the south of the land of Cellon.	And he took by assault the renowned city of Melothus, and pillaged all the children of Tharsis, and the children of Ismahel, who were over against the face of the desert, and on the south of the land of Cellon.
27_124992_000032_000000	Judith Chapter 3	Judith Chapter three
27_124992_000034_000001	Then the kings and the princes of all the cities and provinces, of Syria, Mesopotamia, and Syria Sobal, and Libya, and Cilicia sent their ambassadors, who coming to Holofernes, said:	Then the kings and the princes of all the cities and provinces, of Syria, Mesopotamia, and Syria Sobal, and Libya, and Cilicia sent their ambassadors, who coming to Holofernes, said:
27_124992_000037_000001	Let all we have be subject to thy law,	Let all we have be subject to thy law,
27_124992_000044_000001	And though they did these things, they could not for all that mitigate the fierceness of his heart:	And though they did these things, they could not for all that mitigate the fierceness of his heart:
27_124992_000049_000000	Judith Chapter 4	Judith Chapter four
27_124992_000057_000001	And all the people cried to the Lord with great earnestness, and they humbled their souls in fastings, and prayers, both they and their wives.	And all the people cried to the Lord with great earnestness, and they humbled their souls in fastings, and prayers, both they and their wives.
27_124992_000059_000001	And they cried to the Lord the God of Israel with one accord, that their children might not be made a prey, and their wives carried off, and their cities destroyed, and their holy things profaned, and that they might not be made a reproach to the Gentiles.	And they cried to the Lord the God of Israel with one accord, that their children might not be made a prey, and their wives carried off, and their cities destroyed, and their holy things profaned, and that they might not be made a reproach to the Gentiles.
27_124992_000062_000001	Remember Moses the servant of the Lord overcame Amalec that trusted in his own strength, and in his power, and in his army, and in his shields, and in his chariots, and in his horsemen, not by fighting with the sword, but by holy prayers:	Remember Moses the servant of the Lord overcame Amalec that trusted in his own strength, and in his power, and in his army, and in his shields, and in his chariots, and in his horsemen, not by fighting with the sword, but by holy prayers:
27_124992_000064_000001	So they being moved by this exhortation of his, prayed to the Lord, and continued in the sight of the Lord.	So they being moved by this exhortation of his, prayed to the Lord, and continued in the sight of the Lord.
27_124992_000072_000001	And why they above all that dwell in the east, have despised us, and have not come out to meet us, that they might receive us with peace?	And why they above all that dwell in the east, have despised us, and have not come out to meet us, that they might receive us with peace?
27_124992_000079_000001	And when the Egyptians had cast them out from them, and the plague had ceased from them, and they had a mind to take them again, and bring them back to their service,	And when the Egyptians had cast them out from them, and the plague had ceased from them, and they had a mind to take them again, and bring them back to their service,
27_124992_000093_000001	But if there be no offence of this people in the sight of their God, we cannot resist them because their God will defend them: and we shall be a reproach to the whole earth.	But if there be no offence of this people in the sight of their God, we cannot resist them because their God will defend them: and we shall be a reproach to the whole earth.
27_124992_000098_000000	Judith Chapter 6	Judith Chapter six
27_124992_000105_000001	And that thou mayst know that thou shalt experience these things together with them, behold from this hour thou shalt be associated to their people, that when they shall receive the punishment they deserve from my sword, thou mayst fall under the same vengeance.	And that thou mayst know that thou shalt experience these things together with them, behold from this hour thou shalt be associated to their people, that when they shall receive the punishment they deserve from my sword, thou mayst fall under the same vengeance.
27_124992_000116_000001	Saying: The God of our fathers, whose power thou hast set forth, will make this return to thee, that thou rather shalt see their destruction.	Saying: The God of our fathers, whose power thou hast set forth, will make this return to thee, that thou rather shalt see their destruction.
27_124992_000117_000001	And when the Lord our God shall give this liberty to his servants, let God be with thee also in the midst of us: that as it shall please thee, so thou with all thine mayst converse with us.	And when the Lord our God shall give this liberty to his servants, let God be with thee also in the midst of us: that as it shall please thee, so thou with all thine mayst converse with us.
27_124992_000121_000000	The church...	The church...
27_124992_000121_000001	That is, the synagogue or place where they met for prayer.	That is, the synagogue or place where they met for prayer.
27_124992_000122_000000	Judith Chapter 7	Judith Chapter seven
27_124992_000123_000001	The distress of the besieged.	The distress of the besieged.
27_124992_000125_000001	Now there were in his troops a hundred and twenty thousand footmen, and two and twenty thousand horsemen, besides the preparations of those men who had been taken, and who had been brought away out of the provinces and cities of all the youth.	Now there were in his troops a hundred and twenty thousand footmen, and two and twenty thousand horsemen, besides the preparations of those men who had been taken, and who had been brought away out of the provinces and cities of all the youth.
27_124992_000126_000001	All these prepared themselves together to fight against the children of Israel, and they came by the hillside to the top, which looketh toward Dothain, from the place which is called Belma, unto Chelmon, which is over against Esdrelon.	All these prepared themselves together to fight against the children of Israel, and they came by the hillside to the top, which looketh toward Dothain, from the place which is called Belma, unto Chelmon, which is over against Esdrelon.
27_124992_000127_000001	But the children of Israel, when they saw the multitude of them, prostrated themselves upon the ground, putting ashes upon their heads, praying with one accord, that the God of Israel would shew his mercy upon his people.	But the children of Israel, when they saw the multitude of them, prostrated themselves upon the ground, putting ashes upon their heads, praying with one accord, that the God of Israel would shew his mercy upon his people.
27_124992_000128_000001	And taking their arms of war, they posted themselves at the places, which by a narrow pathway lead directly between the mountains, and they guarded them all day and night.	And taking their arms of war, they posted themselves at the places, which by a narrow pathway lead directly between the mountains, and they guarded them all day and night.
27_124992_000130_000001	Nevertheless there were springs not far from the walls, out of which they were seen secretly to draw water, to refresh themselves a little rather than to drink their fill.	Nevertheless there were springs not far from the walls, out of which they were seen secretly to draw water, to refresh themselves a little rather than to drink their fill.
27_124992_000142_000001	We have sinned with our fathers, we have done unjustly, we have committed iniquity:	We have sinned with our fathers, we have done unjustly, we have committed iniquity:
27_124992_000144_000001	That they may not say among the Gentiles: Where is their God?	That they may not say among the Gentiles: Where is their God?
27_124992_000147_000001	For perhaps he will put a stop to his indignation, and will give glory to his own name.	For perhaps he will put a stop to his indignation, and will give glory to his own name.
27_124992_000148_000001	But if after five days be past there come no aid, we will do the things which you have spoken.	But if after five days be past there come no aid, we will do the things which you have spoken.
27_124992_000149_000000	Judith Chapter 8	Judith Chapter eight
27_124992_000150_000000	The character of Judith: her discourse to the ancients.	The character of Judith: her discourse to the ancients.
27_124992_000158_000001	And she was exceedingly beautiful, and her husband left her great riches, and very many servants, and large possessions of herds of oxen, and flocks of sheep.	And she was exceedingly beautiful, and her husband left her great riches, and very many servants, and large possessions of herds of oxen, and flocks of sheep.
27_124992_000163_000001	This is not a word that may draw down mercy, but rather that may stir up wrath, and enkindle indignation.	This is not a word that may draw down mercy, but rather that may stir up wrath, and enkindle indignation.
27_124992_000170_000001	For which crime they were given up to their enemies, to the sword, and to pillage, and to confusion: but we know no other God but him.	For which crime they were given up to their enemies, to the sword, and to pillage, and to confusion: but we know no other God but him.
27_124992_000172_000001	And now, brethren, as you are the ancients among the people of God, and their very soul resteth upon you: comfort their hearts by your speech, that they may be mindful how our fathers were tempted that they might be proved, whether they worshipped their God truly.	And now, brethren, as you are the ancients among the people of God, and their very soul resteth upon you: comfort their hearts by your speech, that they may be mindful how our fathers were tempted that they might be proved, whether they worshipped their God truly.
